arctic_a0001,ao th er ah v dh ah d ey n jh er t r ey l pau f ih l ah p s t iy l z pau eh t s eh t er ah
arctic_a0002,n aa t ae t dh ih s p er t ih k y ah l er k ey s pau t aa m pau ah p aa l ah jh ay z d w ih t m ao r
arctic_a0003,f ao r dh ah t w eh n t iy eh th t ay m dh ae t iy v n ih ng dh ah t uw m eh n sh uh k hh ae n d z
arctic_a0004,l ao r d pau b ah t ay eh m g l ae d t uw s iy y uw ah g eh n pau f ih l
arctic_a0005,w ih l w iy eh v er f er g eh t ih t
arctic_a0006,g aa d b l eh s eh m pau ay hh ow p ay l g ow aa n s iy ih ng dh eh m f er eh v er
arctic_a0007,ah n d y uw ao l w ey z w aa n t t uw s iy ih t ih n dh ah s uh p er l ah t ih v d ih g r iy
arctic_a0008,g ae d pau y ao r l eh t er k ey m jh ah s t ih n t ay m
arctic_a0009,hh iy t er n d sh aa r p l iy pau ah n d f ey s t g r eh g s ah n ah k r ao s dh ah t ey b ah l
arctic_a0010,ay eh m p l ey ih ng ah s ih ng g ah l hh ae n d ih n w ah t l uh k s l ay k ah l uw z ih ng g ey m
arctic_a0011,ih f ay eh v er n iy d ah d ah f ay t er ih n m ay l ay f ay n iy d w ah n n aw
arctic_a0012,g r eh g s ah n sh ah v d b ae k hh ih z ch eh r ah n d r ow z t uw hh ih z f iy t
arctic_a0013,hh iy w aa z ah hh eh d sh ao r t er dh ae n hh ih z k ah m p ae n y ah n pau ah v ao l m ow s t d eh l ah k ah t f ah z iy k
arctic_a0014,n aw y uw r ey k ah m ih ng d aw n t uw b ih z n ah s pau f ih l pau hh iy ih k s k l ey m d
arctic_a0015,ih t eh s dh ah er ao r ah b ao r iy ae l ah s
arctic_a0016,dh eh r eh s f ao r t ch er ch ih l pau ah r ay f ah l sh aa t b ih aa n d dh ah r ih jh pau ah s l iy p
arctic_a0017,f r ah m dh ae t m ow m ah n t hh ih z f r eh n d sh ih p f ao r b eh l iy z t er n z t uw hh ey t r ah d ah n d jh eh l ah s iy
arctic_a0018,dh eh r w aa z ah ch ey n jh n aw
arctic_a0019,ay f aa l ow d dh ah l ay n ah v dh ah p r ah p ow z d r ey l r ow d pau l uh k ih ng f ao r ch ae n s ah z
arctic_a0020,k l ah b z ah n d b ao l z ah n d s ih t iy z g r uw t uw b iy ow n l iy m eh m er iy z
arctic_a0021,ih t f eh r l iy k l ah b d m iy ih n t uw r eh k ah g n ay z ih ng ih t
arctic_a0022,hh aa r d l iy w er aw er p l ae n z m ey d p ah b l ih k b ih f ao r w iy w er m eh t b ay p aw er f ah l aa p ah z ih sh ah n
arctic_a0023,ah k aa m b ah n ey sh ah n ah v k ah n ey d iy ah n k ae p ih t ah l k w ih k l iy ao r g ah n ay z d ah n d p ah t ih sh ah n d f ao r dh ah s ey m p r ih v ih l ih jh ih z
arctic_a0024,ih t w aa z m ay r ih p ao r t s f r ah m dh ah n ao r th w ih ch ch iy f l iy ih n d uw s t p iy p ah l t uw b ay
arctic_a0025,ay w aa z ah b aw t t uw d uw dh ih s w eh n k uw l er jh ah jh m ah n t p r ih v ey l d
arctic_a0026,ih t ah k er d t uw m iy dh ae t dh eh r w uh d hh ae v t uw b iy ae n ah k aw n t ih ng
arctic_a0027,t uw m ay s er p r ay z hh iy b ih g ae n t uw sh ow ae k ch ah w ah l ih n th uw z iy ae z ah m ih n m ay f ey v er
arctic_a0028,r aa b er iy pau b r ay b er iy pau f r ao d pau
arctic_a0029,dh eh r f ao r s ih z w er ao l r eh d iy m uw v ih ng ih n t uw dh ah n ao r th k ah n t r iy
arctic_a0030,ay hh ae d f ey th ih n dh eh m
arctic_a0031,dh ey w er th r iy hh ah n d r ah d y aa r d z ah p aa r t
arctic_a0032,s ih n s dh eh n s ah m m ih s t ih r iy ah s f ao r s hh ae z b ih n f ay t ih ng ah s ae t eh v er iy s t eh p
arctic_a0033,hh iy ah n f ow l d ah d ah l ao ng t ay p r ih t ah n l eh t er pau ah n d hh ae n d ah d ih t t uw g r eh g s ah n
arctic_a0034,m eh n ah v s eh l d ah n eh s s t ae m p d aa n t iy s t aa p ae t w ih m ah n ah n d ch ih l d r ah n
arctic_a0035,hh iy s t aa p t pau ah n d f ih l ah p n aa d ah d ae t dh ah hh ao r ah f ay d k w eh s ch ah n ih n hh ih z ay z
arctic_a0036,sh iy t er n d ih n ae t dh ah hh ow t eh l
arctic_a0037,ay w aa z dh ah ow n l iy w ah n hh uw r ih m ey n d s ih t ih ng
arctic_a0038,w iy l hh ae v t uw w aa ch aw er ch ae n s ah z
arctic_a0039,dh ah sh ih p sh uh d b iy ih n w ih dh ih n ah w iy k ao r t eh n d ey z
arctic_a0040,ay s ah p ow z y uw w ah n d er w ay sh iy ih z k ah m ih ng ah p hh iy r
arctic_a0041,m iy n w ay l ay l g ow aw t t uw b r iy dh ah s p eh l
arctic_a0042,hh aw k uh d hh iy ih k s p l ey n hh ih z p ah z eh sh ah n ah v dh ah s k eh ch
arctic_a0043,ih t s iy m d n ih r er t uw hh ih m s ih n s hh iy hh ae d s iy n ah n d t ao k t w ih dh g r eh g s ah n
arctic_a0044,hh er ow n b ih t r ey ah l ah v hh er s eh l f w aa z l ay k t aa n ih k t uw f ih l ah p
arctic_a0045,hh iy m uw v d ah w ey ae z k w ay ah t l iy ae z hh iy hh ae d k ah m
arctic_a0046,dh ah g er l f ey s t hh ih m pau hh er ay z sh ay n ih ng w ih dh s ah d ah n f ih r
arctic_a0047,k l ow s b ih s ay d hh ih m g l iy m d dh ah w ay t f ae ng z ah v dh ah w uh l f d ao g
arctic_a0048,hh iy l uh k t ae t dh ah hh ae ng k er ch ih f m ao r pau k l ow s l iy
arctic_a0049,g r eh g s ah n w aa z ah s l iy p w eh n hh iy r iy ih n t er d dh ah k ae b ah n
arctic_a0050,ih n s p ay t ah v dh eh r ah b s er d ah t iy dh ah w er d z ah f eh k t ih d f ih l ah p k y uh r iy ah s l iy
arctic_a0051,dh ah l ey s w aa z ah v ah d eh l ah k ah t ay v er iy k ah l er pau f ey n t l iy t ih n t ih d w ih dh y eh l ow
arctic_a0052,ih t w aa z ah k y uh r iy ah s k ow ih n s ih d ah n s
arctic_a0053,s ah d ah n l iy hh ih z f ih ng g er z k l ow z d t ay t l iy ow v er dh ah hh ae ng k er ch ih f
arctic_a0054,dh eh r w aa z n ah th ih ng aa n dh ah r aa k
arctic_a0055,f ih l ah p s t uh d ah n d ih s ay d ih d pau hh ih z ih r z s t r ey n d t uw k ae ch dh ah s l ay t ah s t s aw n d
arctic_a0056,p ih r s eh s l ih t ah l ay z w er f ih k s t aa n hh ih m sh r uw d l iy
arctic_a0057,ay hh ae v n ow ay d iy ah pau r ih p l ay d f ih l ah p
arctic_a0058,ay k ey m f ao r ih n f ao r m ey sh ah n m ao r aw t ah v k y uh r iy aa s ah t iy dh ae n eh n iy th ih ng eh l s
arctic_a0059,hh ih z ih m ae k y uw l ih t ah p ih r ah n s w aa z g ao n
arctic_a0060,eh n iy w ey pau n ow w ah n s ao hh er l ay k dh ae t
arctic_a0061,f ih l ah p s n ae ch t ae t dh ah l eh t er w ih ch g r eh g s ah n hh eh l d aw t t uw hh ih m
arctic_a0062,dh ah m eh n s t eh r d ih n t uw iy ch ah dh er eh s f ey s
arctic_a0063,y eh s pau ih t w aa z ah m ae n hh uw ae s k t pau ah s t r ey n jh er
arctic_a0064,dh ah f ao r th ah n d f ih f th d ey z p ae s t w ih th aw t eh n iy d ih v eh l ah p m ah n t s
arctic_a0065,dh ey k l ow z d n aw ah n t ih l hh ih z f ih ng g er z w er l ay k k ao r d z ah v s t iy l
arctic_a0066,hh iy s ao jh iy n f ao l t er f ao r ah m ow m ah n t
arctic_a0067,sh uh r l iy ay w ih l ih k s k y uw s y uw pau sh iy k r ay d
arctic_a0068,ih n ah f l ae sh f ih l ah p f aa l ow d ih t s d er eh k sh ah n
